Data,Tipo,Valor,Descrição,Documento,FITID
20250802,DEBIT,-158.02,DEBITO DE IOF 000 02:30:27,2025,20250802000158022025
20250802,DEBIT,-914.40,COBRANCA DE JUROS 000 02:30:27 02/08/2025,2025,20250802000914402025
20250804,CREDIT,18100.00,NE DINHEIRO CAIXA 301400 16:31:15,2025,20250804018100002025
20250804,CREDIT,19.94,PAG BOLETO IBC SANTA CRUZ 041947 19:47:11 61.940.292/0001-37,2025,20250804000019942025
20250804,CREDIT,5106.38,PAG BOLETO IBC SANTA CRUZ 041947 19:47:55 61.940.292/0001-37,2025,20250804005106382025
20250804,CREDIT,36.29,PAG BOLETO IBC SANTA CRUZ 041948 19:48:37 61.940.292/0001-37,2025,20250804000036292025
20250804,CREDIT,949488.84,PAG BOLETO IBC SANTA CRUZ 041 19:49:26 61.940.292/0001-37 === PAGE BREAK ===,2025,20250804949488842025
20250804,CREDIT,949169.56,PAG BOLETO IBC TOTAL DISTRIBUIDORA 041 M PE LTDA 19:49:57 30.061.628/0001-68,2025,20250804949169562025
20250804,CREDIT,30.65,PAG BOLETO IBC SANTA CRUZ 041951 19:51:13 61.940.292/0001-37,2025,20250804000030652025
20250804,CREDIT,4075.31,PAG BOLETO IBC SANTA CRUZ 041951 19:51:59 61.940.292/0001-37,2025,20250804004075312025
20250804,CREDIT,955152.93,PAG BOLETO IBC ABS FARMA 041 19:55:57 02.356.205/0002-10,2025,20250804955152932025
20250804,CREDIT,956269.17,PAG BOLETO IBC ABS FARMA 041 19:56:32 02.356.205/0001-30,2025,20250804956269172025
20250804,CREDIT,957199.90,PAG BOLETO IBC ABS FARMA 041 19:57:16 02.356.205/0001-30,2025,20250804957199902025
20250804,CREDIT,957290.77,PAG BOLETO IBC ABS FARMA 041 19:57:55 02.356.205/0001-30,2025,20250804957290772025
20250804,CREDIT,958237.22,PAG BOLETO IBC ABS FARMA 041 19:58:39 02.356.205/0002-10,2025,20250804958237222025
20250804,CREDIT,959245.61,PAG BOLETO IBC ABS FARMA 041 19:59:26 02.356.205/0001-30 === PAGE BREAK ===,2025,20250804959245612025
20250804,CREDIT,2201.15,PAG BOLETO IBC A BS FARMA 042 20:02:08 02.356.205/0002-10,2025,20250804002201152025
20250804,CREDIT,2169.09,PAG BOLETO IBC A BS FARMA 042 20:02:47 02.356.205/0001-30,2025,20250804002169092025
