Data,Tipo,Valor,Descrição,Documento,FITID
20250731,DEBIT,-26.28,SALDO ANTERIOR,,FB_2628_20250731
20250801,CREDIT,6.76,TEGEX GAR 7731-34973-9,,FB_676_20250801
20250801,DEBIT,-9307.44,TEGEX GAR 7731-34973,,FB_930744_20250801
20250801,DEBIT,-9513.60,TEGEX GAR 7731-34973,,FB_951360_20250801
20250801,CREDIT,1.43,TEGEX GAR 7731-34973-9,,FB_143_20250801
20250801,CREDIT,9608.43,PIX TRANSF MULTIPLO1/08,,FB_960843_20250801
20250801,CREDIT,73134.00,"TRANSF 7973-9 14.070,22",,FB_7313400_20250801
20250801,DEBIT,-17807.83,SISPAG FORNECEDORES,,FB_1780783_20250801
20250801,DEBIT,-1236.56,SISPAG FORNECEDORES,,FB_123656_20250801
20250801,DEBIT,-1588.20,SISPAG FORNECEDORES,,FB_158820_20250801
20250801,DEBIT,-2085.63,SISPAG FORNECEDORES,,FB_208563_20250801
20250801,DEBIT,-1541.89,SISPAG FORNECEDORES PAG TIT BANCO 001,,FB_154189_20250801
20250801,DEBIT,-291.95,SISPAG FORNECEDORES PAG TIT 109008793880,,FB_29195_20250801
20250801,DEBIT,-70.46,SALDO TOTAL DISPON#VEL DIA,,FB_7045_20250801
20250804,CREDIT,73134.00,"TRANSF7973-9 3.028,00",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF7973-9 5.156,16",,FB_7313400_20250804
20250804,DEBIT,-244.27,TARPLANO ADAPT 2 07/25,,FB_24427_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 325,05",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 332,96",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 39,00",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 3.888,42",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 28,91",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 421,79",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 1.257,11",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF 7973-9 7.927,59",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF7973-9 77,39",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF7973-9 123,71",,FB_7313400_20250804
20250804,CREDIT,73134.00,"TRANSF7973-9 15.060,08",,FB_7313400_20250804
20250805,DEBIT,-9127.46,TEGEX GAR 7731-34973,,FB_912745_20250805
20250805,DEBIT,-9261.69,TEGEX GAR 7731-34973,,FB_926169_20250805
20250805,CREDIT,62.35,TEGEX GAR 7731-34973-9,,FB_6235_20250805
20250805,CREDIT,73134.00,"TRANSF 7973-9 13.051,56",,FB_7313400_20250805
20250805,CREDIT,73134.00,"TRANSF 7973-9 13.113,91",,FB_7313400_20250805
20250805,CREDIT,73134.00,"TRANSF 7973-9 714,02",,FB_7313400_20250805
20250805,CREDIT,73134.00,"TRANSF 7973-9 6.164,68",,FB_7313400_20250805
20250806,CREDIT,19.27,TEGEX GAR 7731-34973-9,,FB_1927_20250806
20250806,DEBIT,-9182.71,TEGEX GAR 7731-34973,,FB_918270_20250806
20250806,CREDIT,73134.00,"TRANSF 7973-9 12.106,70",,FB_7313400_20250806
20250807,DEBIT,-9173.18,TEGEX GAR 7731-34973,,FB_917318_20250807
20250807,CREDIT,73134.00,"TRANSF 7973-9 16.100,68",,FB_7313400_20250807
20250811,CREDIT,5013.32,PIX TRANSF MULTIPLO9/08,,FB_501332_20250811
20250811,CREDIT,25700.00,PIX TRANSF MARLY D11/08,,FB_2570000_20250811
20250811,CREDIT,4565.65,PIX TRANSF MULTIPL11/08,,FB_456564_20250811
20250811,CREDIT,2401.85,PIX TRANSF MULTIPL11/08,,FB_240185_20250811
20250811,CREDIT,73134.00,"TRANSF 7973-9 33,62",,FB_7313400_20250811
20250811,DEBIT,-15568.53,PARCELA GIRO 31/36,,FB_1556853_20250811
20250811,CREDIT,73134.00,"TRANSF 7973-9 705,97",,FB_7313400_20250811
20250811,CREDIT,0.02,REND PAGO APLIC AUT MAIS,,FB_2_20250811
20250811,CREDIT,73134.00,"TRANSF 7973-9 51,55",,FB_7313400_20250811
20250811,CREDIT,73134.00,"TRANSF 7973-9 8.865,79",,FB_7313400_20250811
20250811,CREDIT,73134.00,"TRANSF 7973-9 5.176,55",,FB_7313400_20250811
20250811,DEBIT,-23170.27,SISPAG FORNECEDORES,,FB_2317027_20250811
20250811,DEBIT,-9385.38,SISPAG FORNECEDORES,,FB_938537_20250811
20250811,DEBIT,-7653.04,SISPAG FORNECEDORES,,FB_765304_20250811
20250811,DEBIT,-1139.47,SISPAG FORNECEDORES PAG TIT BANCO 237,,FB_113947_20250811
20250811,DEBIT,-827.29,SISPAG FORNECEDORES,,FB_82729_20250811
20250811,DEBIT,-1835.33,SISPAG FORNECEDORES,,FB_183533_20250811
20250811,DEBIT,-1029.34,SALDO TOTAL DISPON#VEL DIA,,FB_102933_20250811
20250813,CREDIT,73134.00,"TRANSF 7973-9 5.797,00",,FB_7313400_20250813
20250814,CREDIT,43.46,TEGEX GAR 7731-34973-9,,FB_4346_20250814
20250814,DEBIT,-9247.55,TEGEX GAR 7731-34973,,FB_924754_20250814
20250814,CREDIT,81.40,TEGEX GAR 7731-34973-9,,FB_8140_20250814
20250814,CREDIT,73134.00,"TRANSF 7973-9 13.926,27",,FB_7313400_20250814
20250815,DEBIT,-9333.11,TEGEX GAR 7731-34973,,FB_933311_20250815
20250815,DEBIT,-9136.32,TEGEX GAR 7731-34973,,FB_913632_20250815
20250815,CREDIT,73134.00,"TRANSF 7973-9 12.419,61",,FB_7313400_20250815
20250818,CREDIT,73134.00,"TRANSF 7973-9 2.382,09",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 385,13",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 261,74",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 25,33",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 14.377,54",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 6.916,18",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 86,78",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 426,78",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 196,68",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 104,46",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 7.190,53",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 291,14",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 654,42",,FB_7313400_20250818
20250818,CREDIT,73134.00,"TRANSF 7973-9 6.510,66",,FB_7313400_20250818
20250819,DEBIT,-9145.69,TEGEX GAR 7731-34973,,FB_914569_20250819
20250819,DEBIT,-9188.51,TEGEX GAR 7731-34973,,FB_918851_20250819
20250819,CREDIT,73134.00,"TRANSF 7973-9 12.803,09",,FB_7313400_20250819
20250820,CREDIT,46.26,TEGEX GAR 7731-34973-9,,FB_4626_20250820
20250820,CREDIT,3300.30,PIX TRANSF MULTIPL20/08,,FB_330030_20250820
20250820,CREDIT,73134.00,"TRANSF 7973-9 11.163,87",,FB_7313400_20250820
