type,index,data,valor,descricao,fitid,matched,matched_info
TXT,0,20250802,-158.02,DEBITO DEIOF 000 02:30:27,20250802000158022025,True,fitid:20250802000158022025
TXT,1,20250802,-914.40,COBRANCA DE JUROS 000 02:30:27 02/08/2025,20250802000914402025,True,fitid:20250802000914402025
TXT,2,20250804,18100.00,NE DINHEIRO CAIXA 301400 16:31:15,20250804018100002025,True,fitid:20250804018100002025
TXT,3,20250804,19.94,PAG BOLETO IBC SANTA CRUZ 041947 19:47:11 61.940.292/0001-37,20250804000019942025,True,fitid:20250804000019942025
TXT,4,20250804,5106.38,PAG BOLETO IBC SANTA CRUZ 041947 19:47:55 61.940.292/0001-37,20250804005106382025,True,fitid:20250804005106382025
TXT,5,20250804,36.29,PAG BOLETO IBC SANTA CRUZ 041948 19:48:37 61.940.292/0001-37,20250804000036292025,True,fitid:20250804000036292025
TXT,6,20250804,949488.84,PAG BOLETO IBC SANTA CRUZ 041 19:49:26 61.940.292/0001-37 === PAGE BREAK ===,20250804949488842025,True,fitid:20250804949488842025
TXT,7,20250804,949169.56,PAG BOLETO IBC TOTAL DISTRIBUIDORA 041 M PE LTDA 19:49:57 30.061.628/0001-68,20250804949169562025,True,fitid:20250804949169562025
TXT,8,20250804,30.65,PAG BOLETO IBC SANTA CRUZ 041951 19:51:13 61.940.292/0001-37,20250804000030652025,True,fitid:20250804000030652025
TXT,9,20250804,4075.31,PAG BOLETO IBC SANTA CRUZ 041951 19:51:59 61.940.292/0001-37,20250804004075312025,True,fitid:20250804004075312025
TXT,10,20250804,955152.93,PAG BOLETO IBC ABS FARMA 041 19:55:57 02.356.205/0002-10,20250804955152932025,True,fitid:20250804955152932025
TXT,11,20250804,956269.17,PAG BOLETO IBC ABS FARMA 041 19:56:32 02.356.205/0001-30,20250804956269172025,True,fitid:20250804956269172025
TXT,12,20250804,957199.90,PAG BOLETO IBC ABS FARMA 041 19:57:16 02.356.205/0001-30,20250804957199902025,True,fitid:20250804957199902025
TXT,13,20250804,957290.77,PAG BOLETO IBC ABS FARMA 041 19:57:55 02.356.205/0001-30,20250804957290772025,True,fitid:20250804957290772025
TXT,14,20250804,958237.22,PAG BOLETO IBC ABS FARMA 041 19:58:39 02.356.205/0002-10,20250804958237222025,True,fitid:20250804958237222025
TXT,15,20250804,959245.61,PAG BOLETO IBC ABS FARMA 041 19:59:26 02.356.205/0001-30 === PAGE BREAK ===,20250804959245612025,True,fitid:20250804959245612025
TXT,16,20250804,2201.15,PAG BOLETO IBC A BS FARMA 042 20:02:08 02.356.205/0002-10,20250804002201152025,True,fitid:20250804002201152025
TXT,17,20250804,2169.09,PAG BOLETO IBC A BS FARMA 042 20:02:47 02.356.205/0001-30,20250804002169092025,True,fitid:20250804002169092025
TXT,18,20250804,3388.56,PAG BOLETO IBC A BS FARMA 042 20:03:32 02.356.205/0001-30 DCL DISTRIBUIDORA,20250804003388562025,True,fitid:20250804003388562025
TXT,19,20250804,-4289.79,PAG BOLETO IBC CARDEAL LTDA 042007 20:07:19 05.253.499/0001-62 DCL DISTRIBUIDORA,20250804004289792025,True,fitid:20250804004289792025
TXT,20,20250804,-4289.79,PAG BOLETO IBC CARDEAL LTDA 042007 20:07:54 05.253.499/0001-62 GRIFOS COMERCIO DE,20250804004289792025,True,fitid:20250804004289792025
TXT,21,20250804,-1229.74,PAG BOLETO IBC ALIMENTOS LTDA 042009 20:09:43 30.354.209/0001-14 PROFARMA,20250804001229742025,True,fitid:20250804001229742025
TXT,22,20250804,-12576.01,PAG BOLETO IBC DISTRIBUIDORA DE 042 PRODUTOS FARMA 20:12:47 45.453.214/0001-51 PANPHARMA,20250804012576012025,True,fitid:20250804012576012025
TXT,23,20250804,-13153.88,PAG BOLETO IBC DISTRIBUIDORA DE MED 042 20:13:36 01.206.820/0005-20,20250804013153882025,True,fitid:20250804013153882025
TXT,24,20250804,-9943.16,= SALDO DO DIA,20250804009943162025,True,fitid:20250804009943162025
TXT,25,20250805,10150.00,NG. DINHEIRO CAIXA 301400 15:52:34 === PAGE BREAK ===,20250805010150002025,True,fitid:20250805010150002025
TXT,26,20250805,-9596.12,PAG BOLETO IBC SANTA CRUZ 051709 17:09:14 61.940.292/0001-37,20250805009596122025,True,fitid:20250805009596122025
TXT,27,20250805,-93.51,PAG BOLETO IBC SANTA CRUZ 051710 17:10:48 61.940.292/0001-37 PARATY ATACADO E,20250805000093512025,True,fitid:20250805000093512025
TXT,28,20250805,-711250.51,PAG BOLETO IBC DISTRIBUIDORA LTDA 051 17:11:34 05.476.815/0010-56,20250805711250512025,True,fitid:20250805711250512025
TXT,29,20250805,-712239.43,PAG BOLETO IBC AE PROD FARM 051 17:12:05 23.837.936/0001-77,20250805712239432025,True,fitid:20250805712239432025
TXT,30,20250805,-713148.43,PAG BOLETO IBC GS FARMA COM DIST 051 LTDA ME 17:13:03 25.404.162/0001-16,20250805713148432025,True,fitid:20250805713148432025
TXT,31,20250805,-10121.16,= SALDO DO DIA,20250805010121162025,True,fitid:20250805010121162025
TXT,32,20250806,7000.00,NG. DINHEIRO CAIXA 301400 16:28:06 CREDITO TRANSF,20250806007000002025,True,fitid:20250806007000002025
TXT,33,20250806,20000.00,AGENCIA 061633 16:33:18 CREDITO TRANSF,20250806020000002025,True,fitid:20250806020000002025
TXT,34,20250806,8700.00,AGENCIA 061636 16:36:00,20250806008700002025,True,fitid:20250806008700002025
TXT,35,20250806,826190.55,PAG BOLETO IBC A PROD FARM 061 18:26:15 23.837.936/0001-77 === PAGE BREAK ===,20250806826190552025,True,fitid:20250806826190552025
TXT,36,20250806,826398.76,PAG BOLETO IBC A PROD FARM 061 18:26:46 23.837.936/0001-77,20250806826398762025,True,fitid:20250806826398762025
TXT,37,20250806,828250.68,PAG BOLETO IBC ABS FARMA 061 18:28:02 02.356.205/0001-30,20250806828250682025,True,fitid:20250806828250682025
TXT,38,20250806,828612.33,PAG BOLETO IBC ABS FARMA 061 18:28:33 02.356.205/0002-10,20250806828612332025,True,fitid:20250806828612332025
TXT,39,20250806,829275.51,PAG BOLETO IBC ABS FARMA 061 18:29:33 02.356.205/0001-30,20250806829275512025,True,fitid:20250806829275512025
TXT,40,20250806,831959.33,PAG BOLETO IBC MULTI-MARCAS 061 18:31:01 31.277.525/0001-00 PANPHARMA,20250806831959332025,True,fitid:20250806831959332025
TXT,41,20250806,2081.71,PAG BOLETO IBC DISTRIBUIDORA DE MED 061831 18:31:52 01.206.820/0005-20 NAZARIA,20250806002081712025,True,fitid:20250806002081712025
TXT,42,20250806,832987.89,PAG BOLETO IBC DISTRIBUIDORA DE 061 PRODUTOS FARMAC 18:32:37 07.224.991/0001-35,20250806832987892025,True,fitid:20250806832987892025
TXT,43,20250806,5695.80,PAG BOLETO IBC SANTA CRUZ 061835 18:35:00 61.940.292/0001-37,20250806005695802025,True,fitid:20250806005695802025
TXT,44,20250806,14126.28,= SALDO DO DIA LUCIANO FERNANDES,20250806014126282025,True,fitid:20250806014126282025
TXT,45,20250807,1766.26,PAG BOLETO IBC DE OLIVEIRA 071132 0273007246 11:32:49 41.896.773/0001-85 === PAGE BREAK === NAZARIA,20250807001766262025,True,fitid:20250807001766262025
TXT,46,20250807,1974.66,PAG BOLETO IBC DISTRIBUIDORA DE 071133 PRODUTOS FARMAC 11:33:35 07.224.991/0001-35 NAZARIA,20250807001974662025,True,fitid:20250807001974662025
TXT,47,20250807,1448.74,PAG BOLETO IBC DISTRIBUIDORA DE 071134 PRODUTOS FARMAC 11:34:23 07.224.991/0001-35 NAZARIA,20250807001448742025,True,fitid:20250807001448742025
TXT,48,20250807,1035.57,PAG BOLETO IBC DISTRIBUIDORA DE 071149 PRODUTOS FARMAC 11:49:49 07.224.991/0001-35 PANPHARMA,20250807001035572025,True,fitid:20250807001035572025
