type,index,data,valor,descricao,fitid,matched,matched_info
TXT,0,20250731,-26.28,SALDO ANTERIOR,FB_2628_20250731,True,fitid:FB_2628_20250731
TXT,1,20250801,6.76,TEGEX GAR 7731-34973-9,FB_676_20250801,True,fitid:FB_676_20250801
TXT,2,20250801,-9307.44,TEGEX GAR 7731-34973,FB_930744_20250801,True,fitid:FB_930744_20250801
TXT,3,20250801,-9513.60,TEGEX GAR 7731-34973,FB_951360_20250801,True,fitid:FB_951360_20250801
TXT,4,20250801,1.43,TEGEX GAR 7731-34973-9,FB_143_20250801,True,fitid:FB_143_20250801
TXT,5,20250801,9608.43,PIX TRANSF MULTIPLO1/08,FB_960843_20250801,True,fitid:FB_960843_20250801
TXT,6,20250801,73134.00,"TRANSF 7973-9 14.070,22",FB_7313400_20250801,True,fitid:FB_7313400_20250801
TXT,7,20250801,-17807.83,SISPAG FORNECEDORES,FB_1780783_20250801,True,fitid:FB_1780783_20250801
TXT,8,20250801,-1236.56,SISPAG FORNECEDORES,FB_123656_20250801,True,fitid:FB_123656_20250801
TXT,9,20250801,-1588.20,SISPAG FORNECEDORES,FB_158820_20250801,True,fitid:FB_158820_20250801
TXT,10,20250801,-2085.63,SISPAG FORNECEDORES,FB_208563_20250801,True,fitid:FB_208563_20250801
TXT,11,20250801,-1541.89,SISPAG FORNECEDORES PAG TIT BANCO 001,FB_154189_20250801,True,fitid:FB_154189_20250801
TXT,12,20250801,-291.95,SISPAG FORNECEDORES PAG TIT 109008793880,FB_29195_20250801,True,fitid:FB_29195_20250801
TXT,13,20250801,-70.46,SALDO TOTAL DISPON#VEL DIA,FB_7045_20250801,True,fitid:FB_7045_20250801
TXT,14,20250804,73134.00,"TRANSF7973-9 3.028,00",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,15,20250804,73134.00,"TRANSF7973-9 5.156,16",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,16,20250804,-244.27,TARPLANO ADAPT 2 07/25,FB_24427_20250804,True,fitid:FB_24427_20250804
TXT,17,20250804,73134.00,"TRANSF 7973-9 325,05",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,18,20250804,73134.00,"TRANSF 7973-9 332,96",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,19,20250804,73134.00,"TRANSF 7973-9 39,00",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,20,20250804,73134.00,"TRANSF 7973-9 3.888,42",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,21,20250804,73134.00,"TRANSF 7973-9 28,91",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,22,20250804,73134.00,"TRANSF 7973-9 421,79",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,23,20250804,73134.00,"TRANSF 7973-9 1.257,11",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,24,20250804,73134.00,"TRANSF 7973-9 7.927,59",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,25,20250804,73134.00,"TRANSF7973-9 77,39",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,26,20250804,73134.00,"TRANSF7973-9 123,71",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,27,20250804,73134.00,"TRANSF7973-9 15.060,08",FB_7313400_20250804,True,fitid:FB_7313400_20250804
TXT,28,20250805,-9127.46,TEGEX GAR 7731-34973,FB_912745_20250805,True,fitid:FB_912745_20250805
TXT,29,20250805,-9261.69,TEGEX GAR 7731-34973,FB_926169_20250805,True,fitid:FB_926169_20250805
TXT,30,20250805,62.35,TEGEX GAR 7731-34973-9,FB_6235_20250805,True,fitid:FB_6235_20250805
TXT,31,20250805,73134.00,"TRANSF 7973-9 13.051,56",FB_7313400_20250805,True,fitid:FB_7313400_20250805
TXT,32,20250805,73134.00,"TRANSF 7973-9 13.113,91",FB_7313400_20250805,True,fitid:FB_7313400_20250805
TXT,33,20250805,73134.00,"TRANSF 7973-9 714,02",FB_7313400_20250805,True,fitid:FB_7313400_20250805
TXT,34,20250805,73134.00,"TRANSF 7973-9 6.164,68",FB_7313400_20250805,True,fitid:FB_7313400_20250805
TXT,35,20250806,19.27,TEGEX GAR 7731-34973-9,FB_1927_20250806,True,fitid:FB_1927_20250806
TXT,36,20250806,-9182.71,TEGEX GAR 7731-34973,FB_918270_20250806,True,fitid:FB_918270_20250806
TXT,37,20250806,73134.00,"TRANSF 7973-9 12.106,70",FB_7313400_20250806,True,fitid:FB_7313400_20250806
TXT,38,20250807,-9173.18,TEGEX GAR 7731-34973,FB_917318_20250807,True,fitid:FB_917318_20250807
TXT,39,20250807,73134.00,"TRANSF 7973-9 16.100,68",FB_7313400_20250807,True,fitid:FB_7313400_20250807
TXT,40,20250811,5013.32,PIX TRANSF MULTIPLO9/08,FB_501332_20250811,True,fitid:FB_501332_20250811
TXT,41,20250811,25700.00,PIX TRANSF MARLY D11/08,FB_2570000_20250811,True,fitid:FB_2570000_20250811
TXT,42,20250811,4565.65,PIX TRANSF MULTIPL11/08,FB_456564_20250811,True,fitid:FB_456564_20250811
TXT,43,20250811,2401.85,PIX TRANSF MULTIPL11/08,FB_240185_20250811,True,fitid:FB_240185_20250811
TXT,44,20250811,73134.00,"TRANSF 7973-9 33,62",FB_7313400_20250811,True,fitid:FB_7313400_20250811
TXT,45,20250811,-15568.53,PARCELA GIRO 31/36,FB_1556853_20250811,True,fitid:FB_1556853_20250811
TXT,46,20250811,73134.00,"TRANSF 7973-9 705,97",FB_7313400_20250811,True,fitid:FB_7313400_20250811
TXT,47,20250811,0.02,REND PAGO APLIC AUT MAIS,FB_2_20250811,True,fitid:FB_2_20250811
TXT,48,20250811,73134.00,"TRANSF 7973-9 51,55",FB_7313400_20250811,True,fitid:FB_7313400_20250811
TXT,49,20250811,73134.00,"TRANSF 7973-9 8.865,79",FB_7313400_20250811,True,fitid:FB_7313400_20250811
TXT,50,20250811,73134.00,"TRANSF 7973-9 5.176,55",FB_7313400_20250811,True,fitid:FB_7313400_20250811
TXT,51,20250811,-23170.27,SISPAG FORNECEDORES,FB_2317027_20250811,True,fitid:FB_2317027_20250811
TXT,52,20250811,-9385.38,SISPAG FORNECEDORES,FB_938537_20250811,True,fitid:FB_938537_20250811
TXT,53,20250811,-7653.04,SISPAG FORNECEDORES,FB_765304_20250811,True,fitid:FB_765304_20250811
TXT,54,20250811,-1139.47,SISPAG FORNECEDORES PAG TIT BANCO 237,FB_113947_20250811,True,fitid:FB_113947_20250811
TXT,55,20250811,-827.29,SISPAG FORNECEDORES,FB_82729_20250811,True,fitid:FB_82729_20250811
TXT,56,20250811,-1835.33,SISPAG FORNECEDORES,FB_183533_20250811,True,fitid:FB_183533_20250811
TXT,57,20250811,-1029.34,SALDO TOTAL DISPON#VEL DIA,FB_102933_20250811,True,fitid:FB_102933_20250811
TXT,58,20250813,73134.00,"TRANSF 7973-9 5.797,00",FB_7313400_20250813,True,fitid:FB_7313400_20250813
TXT,59,20250814,43.46,TEGEX GAR 7731-34973-9,FB_4346_20250814,True,fitid:FB_4346_20250814
TXT,60,20250814,-9247.55,TEGEX GAR 7731-34973,FB_924754_20250814,True,fitid:FB_924754_20250814
TXT,61,20250814,81.40,TEGEX GAR 7731-34973-9,FB_8140_20250814,True,fitid:FB_8140_20250814
TXT,62,20250814,73134.00,"TRANSF 7973-9 13.926,27",FB_7313400_20250814,True,fitid:FB_7313400_20250814
TXT,63,20250815,-9333.11,TEGEX GAR 7731-34973,FB_933311_20250815,True,fitid:FB_933311_20250815
TXT,64,20250815,-9136.32,TEGEX GAR 7731-34973,FB_913632_20250815,True,fitid:FB_913632_20250815
TXT,65,20250815,73134.00,"TRANSF 7973-9 12.419,61",FB_7313400_20250815,True,fitid:FB_7313400_20250815
TXT,66,20250818,73134.00,"TRANSF 7973-9 2.382,09",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,67,20250818,73134.00,"TRANSF 7973-9 385,13",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,68,20250818,73134.00,"TRANSF 7973-9 261,74",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,69,20250818,73134.00,"TRANSF 7973-9 25,33",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,70,20250818,73134.00,"TRANSF 7973-9 14.377,54",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,71,20250818,73134.00,"TRANSF 7973-9 6.916,18",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,72,20250818,73134.00,"TRANSF 7973-9 86,78",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,73,20250818,73134.00,"TRANSF 7973-9 426,78",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,74,20250818,73134.00,"TRANSF 7973-9 196,68",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,75,20250818,73134.00,"TRANSF 7973-9 104,46",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,76,20250818,73134.00,"TRANSF 7973-9 7.190,53",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,77,20250818,73134.00,"TRANSF 7973-9 291,14",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,78,20250818,73134.00,"TRANSF 7973-9 654,42",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,79,20250818,73134.00,"TRANSF 7973-9 6.510,66",FB_7313400_20250818,True,fitid:FB_7313400_20250818
TXT,80,20250819,-9145.69,TEGEX GAR 7731-34973,FB_914569_20250819,True,fitid:FB_914569_20250819
TXT,81,20250819,-9188.51,TEGEX GAR 7731-34973,FB_918851_20250819,True,fitid:FB_918851_20250819
TXT,82,20250819,73134.00,"TRANSF 7973-9 12.803,09",FB_7313400_20250819,True,fitid:FB_7313400_20250819
TXT,83,20250820,46.26,TEGEX GAR 7731-34973-9,FB_4626_20250820,True,fitid:FB_4626_20250820
TXT,84,20250820,3300.30,PIX TRANSF MULTIPL20/08,FB_330030_20250820,True,fitid:FB_330030_20250820
TXT,85,20250820,73134.00,"TRANSF 7973-9 11.163,87",FB_7313400_20250820,True,fitid:FB_7313400_20250820
TXT,86,20250820,-5238.02,SISPAG FORNECEDORES,FB_523802_20250820,True,fitid:FB_523802_20250820
TXT,87,20250820,-1054.93,SISPAG FORNECEDORES,FB_105493_20250820,True,fitid:FB_105493_20250820
TXT,88,20250820,-5000.00,SISPAG FORNECEDORES,FB_500000_20250820,True,fitid:FB_500000_20250820
TXT,89,20250821,-9185.16,TEGEX GAR 7731-34973,FB_918516_20250821,True,fitid:FB_918516_20250821
TXT,90,20250821,63.51,TEGEX GAR 7731-34973-9,FB_6351_20250821,True,fitid:FB_6351_20250821
TXT,91,20250821,8366.36,PIX TRANSF PORT GA21/,FB_836636_20250821,True,fitid:FB_836636_20250821
TXT,92,20250821,3336.44,PIX TRANSF MULTIPL21/08,FB_333644_20250821,True,fitid:FB_333644_20250821
TXT,93,20250821,73134.00,"TRANSF 7973-9 13.621,58",FB_7313400_20250821,True,fitid:FB_7313400_20250821
TXT,94,20250821,-20616.97,SISPAG FORNECEDORES,FB_2061697_20250821,True,fitid:FB_2061697_20250821
TXT,95,20250821,-583.93,SISPAG FORNECEDORES,FB_58392_20250821,True,fitid:FB_58392_20250821
TXT,96,20250821,-290.31,SALDO TOTAL DISPON#VEL DIA,FB_29031_20250821,True,fitid:FB_29031_20250821
TXT,97,20250822,-9134.87,TEGEX GAR 7731-34973,FB_913487_20250822,True,fitid:FB_913487_20250822
TXT,98,20250822,-9241.52,TEGEX GAR 7731-34973,FB_924152_20250822,True,fitid:FB_924152_20250822
TXT,99,20250822,73134.00,"TRANSF 7973-9 12.905,50",FB_7313400_20250822,True,fitid:FB_7313400_20250822
TXT,100,20250825,73134.00,"TRANSF 7973-9 83,33",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,101,20250825,73134.00,"TRANSF 7973-9 248,00",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,102,20250825,73134.00,"TRANSF 7973-9 210,82",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,103,20250825,73134.00,"TRANSF 7973-9 6.272,97",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,104,20250825,73134.00,"TRANSF 7973-9 231,02",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,105,20250825,73134.00,"TRANSF 7973-9 14.071,93",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,106,20250825,73134.00,"TRANSF 7973-9 216,15",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,107,20250825,73134.00,"TRANSF 7973-9 4.036,19",FB_7313400_20250825,True,fitid:FB_7313400_20250825
TXT,108,20250825,73134.00,"TRANSF 7973-9 33,65",FB_7313400_20250825,True,fitid:FB_7313400_20250825
